,Headlines,Time,Sentiment
0,Jim Cramer: A better way to invest in the Covid-19 vaccine gold rush," 7:51  PM ET Fri, 17 July 2020",5
1,Cramer's lightning round: I would own Teradyne," 7:33  PM ET Fri, 17 July 2020",4
3,"Cramer's week ahead: Big week for earnings, even bigger week for vaccines"," 7:25  PM ET Fri, 17 July 2020",5
4,IQ Capital CEO Keith Bliss says tech and healthcare will rally," 4:24  PM ET Fri, 17 July 2020",5
5,"Wall Street delivered the 'kind of pullback I've been waiting for,' Jim Cramer says"," 7:36  PM ET Thu, 16 July 2020",4
6,Cramer's lightning round: I would just stay long Wex," 7:23  PM ET Thu, 16 July 2020",3
7,Acorns CEO: Parents can turn $5 into five figures for their kids through 'power of compounding'," 8:03  PM ET Thu, 16 July 2020",5
8,Dividend cuts may mean rethinking your retirement income strategy," 8:54  AM ET Thu, 16 July 2020",2
10,"StockX has authenticated 1 million Jordan sneakers this year, CEO says"," 8:25  PM ET Wed, 15 July 2020",1
11,Biohaven Pharmaceuticals lands Khloe Kardashian as influencer of new migraine drug," 7:51  PM ET Wed, 15 July 2020",5
12,Cramer's lightning round: I like Beyond Meat," 7:24  PM ET Wed, 15 July 2020",5
13,"Cramer: We desperately need another round of federal stimulus, despite vaccine progress"," 6:51  PM ET Wed, 15 July 2020",1
14,Cramer's lightning round: Buy more VMware," 7:31  PM ET Tue, 14 July 2020",5
15,"Wall Street did something 'highly unusual' in Tuesday's session, Jim Cramer says"," 7:23  PM ET Tue, 14 July 2020",3
16,"Charts suggest the S&P 500 climb will stall out at the end of July, Jim Cramer warns"," 7:02  PM ET Tue, 14 July 2020",1
17,Salesforce's Marc Benioff: Face masks can end the U.S. coronavirus crisis within weeks," 9:05  PM ET Mon, 13 July 2020",4
18,"Crown Castle's 'good story can get even better' on activist fight, Jim Cramer says"," 8:33  PM ET Mon, 13 July 2020",4
19,Ellevest's Sallie Krawcheck says the economic crisis has caused a 'she-cession'," 9:43  PM ET Mon, 13 July 2020",1
20,Cramer's lightning round: Zoom's pullback is a buying opportunity," 7:38  PM ET Mon, 13 July 2020",4
21,"Cramer's earnings watch: 'If the banks get hammered, things could get ugly'"," 7:24  PM ET Mon, 13 July 2020",1
22,Stay invested in US markets for the next two years: Strategist," 1:50  AM ET Tue,  7 July 2020",4
23,DBS sees signs of a 'healthy' US market rally," 4:59  AM ET Mon,  6 July 2020",4
25,Aggressive policy bolstering markets: Hirtle Callaghan,"10:57  PM ET Thu,  2 July 2020",4
